"","symbol","date","open","high","low","close","volume","adjusted"
"1","AAPL",2012-01-03,14.621429,14.732143,14.607143,14.686786,302220800,12.557466
"2","AAPL",2012-01-04,14.642857,14.81,14.617143,14.765714,260022000,12.62495
"3","AAPL",2012-01-05,14.819643,14.948214,14.738214,14.929643,271269600,12.765111
"4","AAPL",2012-01-06,14.991786,15.098214,14.972143,15.085714,318292800,12.898557
"5","AAPL",2012-01-09,15.196429,15.276786,15.048214,15.061786,394024400,12.878096
"6","AAPL",2012-01-10,15.211071,15.214286,15.053571,15.115714,258196400,12.924208
"7","AAPL",2012-01-11,15.095714,15.101786,14.975357,15.091071,215084800,12.903136
"8","AAPL",2012-01-12,15.081429,15.103571,14.955357,15.049643,212587200,12.867715
"9","AAPL",2012-01-13,14.989286,15.016071,14.952143,14.993214,226021600,12.819466
"10","AAPL",2012-01-17,15.15,15.213929,15.105714,15.167857,242897200,12.968789
"11","AAPL",2012-01-18,15.248571,15.338214,15.225,15.325357,276791200,13.103456
"12","AAPL",2012-01-19,15.3625,15.406071,15.2325,15.276786,261738400,13.061928
"13","AAPL",2012-01-20,15.2675,15.267857,14.991071,15.010714,413974400,12.834431
"14","AAPL",2012-01-23,15.095357,15.301786,15.082143,15.264643,306062400,13.051544
"15","AAPL",2012-01-24,15.182143,15.182143,14.983929,15.014643,547638000,12.83779
"16","AAPL",2012-01-25,16.23,16.230356,15.8475,15.952143,958314000,13.639367
"17","AAPL",2012-01-26,16.012857,16.028214,15.826429,15.879643,323985200,13.577381
"18","AAPL",2012-01-27,15.869286,16.017143,15.848929,15.974286,299709200,13.6583
"19","AAPL",2012-01-30,15.918214,16.210714,15.906786,16.178928,379341200,13.833274
"20","AAPL",2012-01-31,16.27107,16.365713,16.18107,16.302856,391683600,13.939236
"21","AAPL",2012-02-01,16.371786,16.3925,16.269644,16.2925,270046000,13.930378
"22","AAPL",2012-02-02,16.282143,16.327499,16.213572,16.254286,186796400,13.897705
"23","AAPL",2012-02-03,16.332144,16.428572,16.27,16.417143,286599600,14.036952
"24","AAPL",2012-02-06,16.370714,16.606428,16.364286,16.570356,249412800,14.167953
"25","AAPL",2012-02-07,16.616072,16.776787,16.592142,16.743929,316223600,14.316359
"26","AAPL",2012-02-08,16.803572,17.028214,16.775,17.024286,407890000,14.55607
"27","AAPL",2012-02-09,17.17,17.741072,17.162857,17.613214,884214800,15.059617
"28","AAPL",2012-02-10,17.534286,17.772142,17.448214,17.622143,631302000,15.067249
"29","AAPL",2012-02-13,17.840357,17.993929,17.753214,17.950001,517216000,15.347575
"30","AAPL",2012-02-14,18.023571,18.19857,17.928572,18.195,460398400,15.557052
"31","AAPL",2012-02-15,18.366428,18.79607,17.746071,17.77393,1506120000,15.197027
"32","AAPL",2012-02-16,17.553572,18.031786,17.379642,17.936071,944552000,15.335669
"33","AAPL",2012-02-17,17.968214,18.134644,17.867857,17.932858,535805200,15.332915
"34","AAPL",2012-02-21,18.102858,18.387501,18.004286,18.387501,605595200,15.72164
"35","AAPL",2012-02-22,18.324286,18.410357,18.18107,18.322857,483302400,15.666376
"36","AAPL",2012-02-23,18.395714,18.493929,18.196428,18.442499,568027600,15.768671
"37","AAPL",2012-02-24,18.559643,18.674999,18.522858,18.657499,415072000,15.952495
"38","AAPL",2012-02-27,18.618214,18.875,18.438572,18.777143,547582000,16.054792
"39","AAPL",2012-02-28,18.855715,19.121786,18.780357,19.121786,600387200,16.349472
"40","AAPL",2012-02-29,19.341429,19.557501,19.132143,19.372856,952011200,16.56414
"41","AAPL",2012-03-01,19.577499,19.57893,19.241785,19.445356,683270000,16.626127
"42","AAPL",2012-03-02,19.437143,19.52857,19.375713,19.470715,431712400,16.647808
"43","AAPL",2012-03-05,19.479286,19.552856,18.785713,19.04143,809124400,16.280764
"44","AAPL",2012-03-06,18.702143,19.060356,18.436428,18.937857,810238800,16.192209
"45","AAPL",2012-03-07,19.171429,19.206429,18.689285,18.953215,798520800,16.205334
"46","AAPL",2012-03-08,19.096071,19.3925,19.004286,19.356787,516457200,16.550402
"47","AAPL",2012-03-09,19.436071,19.562143,19.396786,19.470358,418919200,16.647507
"48","AAPL",2012-03-12,19.606428,19.714287,19.535713,19.714287,407282400,16.85607
"49","AAPL",2012-03-13,19.912144,20.292143,19.848213,20.289286,690855200,17.347698
"50","AAPL",2012-03-14,20.644644,21.24,20.549999,21.056429,1418844000,18.00362
"51","AAPL",2012-03-15,21.414642,21.428928,20.6625,20.912857,1159718000,17.880873
"52","AAPL",2012-03-16,20.882856,21.042856,20.642857,20.913214,825487600,17.88117
"53","AAPL",2012-03-19,21.370358,21.491785,21.0375,21.467857,901236000,18.355402
"54","AAPL",2012-03-20,21.411072,21.674999,21.124287,21.64143,816662000,18.503817
"55","AAPL",2012-03-21,21.526428,21.773214,21.47893,21.517857,644042000,18.398153
"56","AAPL",2012-03-22,21.349285,21.589287,21.268929,21.405001,623870800,18.301662
"57","AAPL",2012-03-23,21.446072,21.492857,21.228571,21.2875,430488800,18.201193
"58","AAPL",2012-03-26,21.42107,21.683929,21.259287,21.677856,595742000,18.534954
"59","AAPL",2012-03-27,21.649286,22.01,21.645,21.945715,607129600,18.763977
"60","AAPL",2012-03-28,22.084999,22.194643,21.796785,22.057858,655460400,18.859863
"61","AAPL",2012-03-29,21.885,22.02,21.686787,21.780714,608238400,18.6229
"62","AAPL",2012-03-30,21.741785,21.805714,21.355,21.4125,731038000,18.308075
"63","AAPL",2012-04-02,21.493929,22.098928,21.442142,22.093929,598351600,18.890703
"64","AAPL",2012-04-03,22.40357,22.57893,22.2325,22.475714,834559600,19.217136
"65","AAPL",2012-04-04,22.298214,22.352142,22.035713,22.296785,572980800,19.064146
"66","AAPL",2012-04-05,22.392143,22.66643,22.264286,22.63143,641298000,19.350277
"67","AAPL",2012-04-09,22.361786,22.851429,22.332144,22.7225,597536800,19.428144
"68","AAPL",2012-04-10,22.854643,23,22.357143,22.444286,889725200,19.190266
"69","AAPL",2012-04-11,22.72143,22.745358,22.262142,22.364286,696614800,19.121866
"70","AAPL",2012-04-12,22.321428,22.547501,22.160713,22.241785,614336800,19.017124
"71","AAPL",2012-04-13,22.289642,22.310715,21.553928,21.615356,859644800,18.481516
"72","AAPL",2012-04-16,21.787857,21.795713,20.651787,20.718929,1050786800,17.715054
"73","AAPL",2012-04-17,20.67643,21.785713,20.425358,21.775,1025528000,18.618019
"74","AAPL",2012-04-18,21.918571,22.151787,21.525356,21.726429,954531200,18.576481
"75","AAPL",2012-04-19,21.436428,21.5975,20.875713,20.98,834719200,17.938278
"76","AAPL",2012-04-20,21.120714,21.236429,20.372143,20.463572,1030985200,17.496719
"77","AAPL",2012-04-23,20.378929,20.595358,19.879286,20.417856,966529200,17.457634
"78","AAPL",2012-04-24,20.093214,20.274643,19.821428,20.01,1076149200,17.10891
"79","AAPL",2012-04-25,21.987143,22.071428,21.642857,21.785713,905777600,18.627174
"80","AAPL",2012-04-26,21.938213,21.953215,21.504642,21.703571,536068400,18.556948
